cod_mun,municipio,populacao,ano_populacao,area_km2,densidade_hab_km2
3305109,São João de Meriti,466503,2025,35.89875202695846,12994.964272008001
3305208,São Pedro da Aldeia,110677,2025,338.7117173895645,326.75869867444356
3305307,São Sebastião do Alto,7993,2025,404.73136111944217,19.748902031936062
3305752,Tanguá,32865,2025,145.3405067932428,226.12415991333233
3305802,Teresópolis,176735,2025,785.9187092720686,224.8769470874348
3305901,Trajano de Moraes,10654,2025,602.0980701716628,17.694791808521263
3306008,Três Rios,82319,2025,327.9372946188526,251.0205498147926
3306107,Valença,71449,2025,1318.641030204942,54.18381376233641
3306156,Varre-Sai,10563,2025,205.9932009924441,51.2783914668497
3306206,Vassouras,35907,2025,543.9294859640055,66.01407154157505
3306305,Volta Redonda,279971,2025,184.54116145297766,1517.1195292999091
